instance_pre,Delta7(PB15)_L1L9R8_R,Delta7(PB15)_L2R7_R,Delta7(PB15)_L3R6_R,Delta7(PB15)_L4R5_R,Delta7(PB15)_L5R4_L,Delta7(PB15)_L6R3_L,Delta7(PB15)_L7R2_L,Delta7(PB15)_L8R1R9_L,EPG(PB08)_L1,EPG(PB08)_L2,EPG(PB08)_L3,EPG(PB08)_L4,EPG(PB08)_L5,EPG(PB08)_L6,EPG(PB08)_L7,EPG(PB08)_L8,EPG(PB08)_R1,EPG(PB08)_R2,EPG(PB08)_R3,EPG(PB08)_R4,EPG(PB08)_R5,EPG(PB08)_R6,EPG(PB08)_R7,EPG(PB08)_R8,PEG(PB07)_L1,PEG(PB07)_L2,PEG(PB07)_L3,PEG(PB07)_L4,PEG(PB07)_L5,PEG(PB07)_L6,PEG(PB07)_L7,PEG(PB07)_L8,PEG(PB07)_L9,PEG(PB07)_R1,PEG(PB07)_R2,PEG(PB07)_R3,PEG(PB07)_R4,PEG(PB07)_R5,PEG(PB07)_R6,PEG(PB07)_R7,PEG(PB07)_R8,PEG(PB07)_R9,PEN_a(PB06a)_L2,PEN_a(PB06a)_L3,PEN_a(PB06a)_L4,PEN_a(PB06a)_L5,PEN_a(PB06a)_L6,PEN_a(PB06a)_L7,PEN_a(PB06a)_L8,PEN_a(PB06a)_L9,PEN_a(PB06a)_R2,PEN_a(PB06a)_R3,PEN_a(PB06a)_R4,PEN_a(PB06a)_R5,PEN_a(PB06a)_R6,PEN_a(PB06a)_R7,PEN_a(PB06a)_R8,PEN_a(PB06a)_R9,PEN_b(PB06b)_L2,PEN_b(PB06b)_L3,PEN_b(PB06b)_L4,PEN_b(PB06b)_L5,PEN_b(PB06b)_L6,PEN_b(PB06b)_L7,PEN_b(PB06b)_L8,PEN_b(PB06b)_L9,PEN_b(PB06b)_R2,PEN_b(PB06b)_R3,PEN_b(PB06b)_R4,PEN_b(PB06b)_R5,PEN_b(PB06b)_R6,PEN_b(PB06b)_R7,PEN_b(PB06b)_R8,PEN_b(PB06b)_R9
EPG(PB08)_R5,20.066666666666666,13.4,4.5,2.3,1.1111111111111112,7.266666666666667,14.555555555555555,22.4,0.0,0.0,2.3333333333333335,11.88888888888889,11.666666666666666,2.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,4.25,1.0,0.0,0.0,0.0,0.0,3.6666666666666665,4.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,51.666666666666664,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.333333333333332,2.0,0.0,0.0,0.0,0.0,0.0,16.2,15.142857142857142,12.666666666666666,0.0,0.0,0.0,0.0,0.0,9.0,16.666666666666668,1.0,0.0,0.0,0.0,0.0,2.0,35.666666666666664,19.833333333333332,8.0,0.0,0.0
EPG(PB08)_R6,10.0,2.6153846153846154,1.6666666666666667,1.5,6.785714285714286,12.266666666666667,11.777777777777779,20.333333333333332,0.0,2.0,15.0,15.333333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.125,0.0,4.5,1.0,0.0,0.0,1.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.833333333333336,1.0,0.0,0.0,0.0,1.0,7.0,24.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,12.5,15.75,11.333333333333334,1.0,0.0,0.0,4.0,26.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.833333333333332,25.666666666666668,4.333333333333333,0.0
EPG(PB08)_R7,3.5555555555555554,3.357142857142857,2.1666666666666665,5.4,11.4,10.933333333333334,9.777777777777779,13.266666666666667,2.0,26.666666666666668,19.77777777777778,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.6666666666666665,0.0,5.125,0.0,6.333333333333333,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,44.666666666666664,5.666666666666667,0.0,1.0,15.666666666666666,14.833333333333334,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.5,21.6,22.25,10.333333333333334,0.0,8.666666666666666,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,41.666666666666664,19.5,7.0
EPG(PB08)_R8,3.3157894736842106,2.3333333333333335,7.0625,11.9,14.25,8.4,7.666666666666667,2.7777777777777777,15.25,17.375,1.25,0.0,0.0,0.0,0.0,2.0,2.8,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.125,2.6,6.75,19.25,3.142857142857143,0.0,0.0,0.0,0.0,1.0,8.75,0.0,0.0,0.0,0.0,2.5,18.0,17.75,5.5,27.75,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,29.0,18.75
PEG(PB07)_L1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.8,0.0,1.3333333333333333,0.0,1.6666666666666667,0.0,1.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,4.0,0.0,3.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEG(PB07)_L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.5,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,31.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,31.0
PEG(PB07)_L3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.5,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,1.0,2.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0
PEG(PB07)_L4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,3.0,0.0,1.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,35.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,0.0,0.0
PEG(PB07)_L5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,2.6666666666666665,1.0,2.6666666666666665,1.0,1.6666666666666667,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0,1.0,0.0,0.0
PEG(PB07)_L6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,2.0,1.0,2.2,0.0,1.75,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0,0.0,0.0,0.0,2.0,42.0,0.0,0.0,0.0,0.0
