instance_pre,instance_post,conn_num,tot_syn_cnt,mean_syn_cnt,syn_cnt_sd
EPG(PB08)_R4,Delta7(PB15)_L3R6_R,12,146,12.166666666666666,3.9504506839170395
EPG(PB08)_R4,Delta7(PB15)_L7R2_L,9,41,4.555555555555555,2.2973414586817036
EPG(PB08)_R4,Delta7(PB15)_L2R7_R,15,318,21.2,4.4110251480968525
EPG(PB08)_R4,PEG(PB07)_R1,0,0,0.0,0.0
EPG(PB08)_R4,PEG(PB07)_L5,1,5,5.0,0.0
EPG(PB08)_R4,PEG(PB07)_L6,3,19,6.333333333333333,3.0550504633038935
EPG(PB08)_R4,PEG(PB07)_R6,0,0,0.0,0.0
EPG(PB08)_R4,PEG(PB07)_R4,6,283,47.166666666666664,32.220593828585265
EPG(PB08)_R4,PEG(PB07)_L4,0,0,0.0,0.0
EPG(PB08)_R4,PEG(PB07)_R2,0,0,0.0,0.0
EPG(PB08)_R4,PEG(PB07)_R3,1,2,2.0,0.0
EPG(PB08)_R4,PEG(PB07)_L3,0,0,0.0,0.0
EPG(PB08)_R4,PEG(PB07)_R7,0,0,0.0,0.0
EPG(PB08)_R4,PEG(PB07)_L7,0,0,0.0,0.0
EPG(PB08)_R4,PEG(PB07)_L8,0,0,0.0,0.0
EPG(PB08)_R4,PEG(PB07)_R9,0,0,0.0,0.0
EPG(PB08)_R4,PEG(PB07)_L1,0,0,0.0,0.0
EPG(PB08)_R4,PEG(PB07)_L2,0,0,0.0,0.0
EPG(PB08)_R4,PEG(PB07)_L9,0,0,0.0,0.0
EPG(PB08)_R4,PEG(PB07)_R5,1,1,1.0,0.0
EPG(PB08)_R4,PEG(PB07)_R8,0,0,0.0,0.0
EPG(PB08)_R4,PEN_a(PB06a)_L7,3,89,29.666666666666668,18.717193521821944
EPG(PB08)_R4,PEN_a(PB06a)_R4,9,89,9.88888888888889,7.406828681096324
EPG(PB08)_R4,PEN_a(PB06a)_R3,1,1,1.0,0.0
EPG(PB08)_R4,PEN_a(PB06a)_L2,0,0,0.0,0.0
EPG(PB08)_R4,PEN_a(PB06a)_R6,6,46,7.666666666666667,4.88535225614967
EPG(PB08)_R4,PEN_a(PB06a)_L6,6,35,5.833333333333333,3.763863263545405
EPG(PB08)_R4,PEN_a(PB06a)_L4,0,0,0.0,0.0
EPG(PB08)_R4,PEN_a(PB06a)_R5,3,79,26.333333333333332,9.29157324317757
EPG(PB08)_R4,PEN_a(PB06a)_R2,0,0,0.0,0.0
EPG(PB08)_R4,PEN_a(PB06a)_R7,0,0,0.0,0.0
EPG(PB08)_R4,PEN_a(PB06a)_R8,0,0,0.0,0.0
EPG(PB08)_R4,PEN_a(PB06a)_L8,2,10,5.0,5.656854249492381
