instance_pre,instance_post,mean_syn_cnt,cs_weight
Delta7(PB15)_L3R6_R,PEN_a(PB06a)_L4,2.3333333333333335,4.25
Delta7(PB15)_L3R6_R,PEN_a(PB06a)_L5,0.0,0.5
Delta7(PB15)_L3R6_R,PEN_a(PB06a)_L6,0.0,0.375
Delta7(PB15)_L3R6_R,PEN_a(PB06a)_L7,0.0,0.625
Delta7(PB15)_L3R6_R,PEN_a(PB06a)_L8,1.0,0.625
Delta7(PB15)_L3R6_R,PEN_a(PB06a)_L9,0.0,0.375
Delta7(PB15)_L3R6_R,PEN_a(PB06a)_R2,2.0,1.0
Delta7(PB15)_L3R6_R,PEN_a(PB06a)_R3,2.6666666666666665,1.0
Delta7(PB15)_L3R6_R,PEN_a(PB06a)_R4,0.0,0.625
Delta7(PB15)_L3R6_R,PEN_a(PB06a)_R5,0.0,2.25
Delta7(PB15)_L3R6_R,PEN_a(PB06a)_R6,22.0,21.625
Delta7(PB15)_L3R6_R,PEN_a(PB06a)_R7,7.666666666666667,3.625
Delta7(PB15)_L3R6_R,PEN_a(PB06a)_R8,0.0,0.25
Delta7(PB15)_L3R6_R,PEN_a(PB06a)_R9,0.0,0.75
Delta7(PB15)_L4R5_R,PEN_a(PB06a)_L2,1.0,0.375
Delta7(PB15)_L4R5_R,PEN_a(PB06a)_L3,0.0,2.75
Delta7(PB15)_L4R5_R,PEN_a(PB06a)_L4,24.272727272727273,17.375
Delta7(PB15)_L4R5_R,PEN_a(PB06a)_L5,7.0,4.25
Delta7(PB15)_L4R5_R,PEN_a(PB06a)_L6,0.0,0.5
Delta7(PB15)_L4R5_R,PEN_a(PB06a)_L7,0.0,0.375
Delta7(PB15)_L4R5_R,PEN_a(PB06a)_L8,0.0,0.625
Delta7(PB15)_L4R5_R,PEN_a(PB06a)_L9,0.0,0.625
Delta7(PB15)_L4R5_R,PEN_a(PB06a)_R2,1.5,1.0
Delta7(PB15)_L4R5_R,PEN_a(PB06a)_R3,1.0,0.625
Delta7(PB15)_L4R5_R,PEN_a(PB06a)_R4,2.75,2.25
Delta7(PB15)_L4R5_R,PEN_a(PB06a)_R5,29.0,21.625
Delta7(PB15)_L4R5_R,PEN_a(PB06a)_R6,7.714285714285714,3.625
Delta7(PB15)_L4R5_R,PEN_a(PB06a)_R7,1.0,0.25
Delta7(PB15)_L4R5_R,PEN_a(PB06a)_R8,1.0,0.75
Delta7(PB15)_L4R5_R,PEN_a(PB06a)_R9,0.0,1.0
Delta7(PB15)_L5R4_L,PEN_a(PB06a)_L2,1.0,0.625
Delta7(PB15)_L5R4_L,PEN_a(PB06a)_L3,0.0,0.375
Delta7(PB15)_L5R4_L,PEN_a(PB06a)_L4,3.1666666666666665,2.75
Delta7(PB15)_L5R4_L,PEN_a(PB06a)_L5,20.0,17.375
Delta7(PB15)_L5R4_L,PEN_a(PB06a)_L6,5.25,4.25
Delta7(PB15)_L5R4_L,PEN_a(PB06a)_L7,1.0,0.5
Delta7(PB15)_L5R4_L,PEN_a(PB06a)_L8,0.0,0.375
Delta7(PB15)_L5R4_L,PEN_a(PB06a)_L9,1.0,0.625
Delta7(PB15)_L5R4_L,PEN_a(PB06a)_R2,1.0,0.625
Delta7(PB15)_L5R4_L,PEN_a(PB06a)_R3,1.5,2.25
Delta7(PB15)_L5R4_L,PEN_a(PB06a)_R4,15.7,21.625
Delta7(PB15)_L5R4_L,PEN_a(PB06a)_R5,1.5,3.625
Delta7(PB15)_L5R4_L,PEN_a(PB06a)_R6,0.0,0.25
Delta7(PB15)_L5R4_L,PEN_a(PB06a)_R7,1.0,0.75
